#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Au197        kin_type:  SRC            
# target_amu: 196.966570                 
# target_density [g/cm3]: 19.3200     
# target_thickness [cm]: 0.0209      
# target_areal_density [g/cm2]: 0.4047
#
# N: 118
# Z: 79
# A: 197
# transparency: 0.281
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938231          
# hms_h_momentum [GeV/c]: 1.3250             
# hms_h_angle [deg]: -66.4000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
20800,1937.152,59.482,30.706,71.000,8.426,69.684,8.452,1.316,0.658,0.999,8.235E-05,0.980,4.332E-04,1.005,-NAN,0.898,2.183E-03,2.373E+02,4.733E+01,3.453E+01,9.456E+00,3.797E-02,2.717E-01,2.457E-01,1.854E-01,3.818E-02,19303.000,17325.000,513.0,257.0,65.0,1.0,-0.242,0.418,0.801,0.023,0.871,0.047,1.012,0.053,336.568,335.032,358.429,335.646,310.716,298.017,284.794,291.593,268.009,284.261,298.405,312.315,2.944,3.240,2.938,2.722,2.689,2.551,2.171,2.213,1.958,2.251,2.212,2.329,226.539,229.546,226.804,217.577,258.357,257.637,231.862,237.343,217.532,219.629,227.235,232.554,2.038,2.106,2.265,2.307,2.744,2.666,2.142,2.245,2.293,2.327,2.234,2.403,0.991,0.051,4.383E+05,3.919E+05,0.980,0.000
20801,167.398,4.793,28.631,6.000,2.449,5.342,2.493,0.658,0.465,0.999,2.453E-04,0.978,1.632E-03,1.007,-NAN,0.892,7.588E-03,2.214E+02,4.401E+01,3.215E+01,8.815E+00,3.453E-02,2.519E-01,2.277E-01,1.721E-01,3.477E-02,1670.000,1490.000,513.0,257.0,65.0,1.0,-0.368,0.380,0.800,0.023,0.872,0.047,1.019,0.055,336.112,338.710,362.461,337.436,304.225,306.582,287.544,289.158,269.561,279.696,295.638,316.084,4.625,4.571,4.544,4.589,3.893,3.651,3.328,3.331,3.046,3.278,3.369,3.642,231.150,227.541,229.466,209.035,259.112,247.932,229.853,240.028,222.043,221.458,224.775,231.215,3.283,3.183,3.514,3.162,4.085,3.679,3.110,3.286,3.622,3.600,3.436,3.444,0.991,0.173,3.525E+04,3.154E+04,0.978,0.002
20802,1303.432,42.046,32.258,36.000,6.000,35.671,6.009,0.329,0.329,0.999,9.007E-05,0.979,5.292E-04,1.005,-NAN,0.893,2.708E-03,2.492E+02,4.980E+01,3.625E+01,9.936E+00,4.074E-02,2.866E-01,2.589E-01,1.956E-01,4.094E-02,12990.000,11605.000,513.0,257.0,65.0,1.0,-0.254,0.386,0.801,0.022,0.870,0.047,1.021,0.056,331.712,339.671,355.783,335.751,305.168,293.794,287.917,294.634,271.271,282.168,299.123,305.780,2.810,3.358,2.904,3.011,2.575,2.401,2.206,2.318,2.066,2.041,2.276,2.232,231.466,228.610,230.565,220.276,253.704,250.013,236.818,243.016,217.050,221.796,228.913,237.374,2.105,2.090,2.368,2.352,2.494,2.435,2.264,2.269,2.314,2.455,2.256,2.455,0.989,0.054,3.099E+05,2.769E+05,0.979,0.001
20803,2518.710,83.713,33.236,84.000,9.165,80.053,9.236,3.947,1.140,0.999,6.420E-05,0.980,3.705E-04,1.005,-NAN,0.895,1.938E-03,2.565E+02,5.137E+01,3.736E+01,1.023E+01,4.265E-02,2.962E-01,2.676E-01,2.022E-01,4.285E-02,25101.000,22457.000,513.0,257.0,65.0,1.0,-0.265,0.394,0.801,0.023,0.871,0.046,1.048,0.062,331.403,339.683,358.877,345.461,305.068,307.173,285.840,287.936,268.195,285.436,291.131,309.086,2.813,3.309,3.008,2.900,2.552,2.409,2.177,2.169,1.976,2.235,2.111,2.250,227.685,232.518,229.512,222.145,253.645,253.701,232.368,239.421,212.506,214.745,226.579,230.397,2.031,2.157,2.278,2.371,2.536,2.533,2.131,2.120,2.116,2.180,2.265,2.283,0.991,0.041,6.174E+05,5.512E+05,0.980,0.000
20804,2324.803,76.191,32.773,82.000,9.055,78.053,9.127,3.947,1.140,0.999,7.103E-05,0.980,3.856E-04,1.005,-NAN,0.898,1.986E-03,2.530E+02,5.066E+01,3.687E+01,1.009E+01,4.183E-02,2.919E-01,2.637E-01,1.992E-01,4.201E-02,23173.000,20814.000,513.0,257.0,65.0,1.0,-0.218,0.407,0.801,0.023,0.871,0.047,1.034,0.059,332.303,337.459,359.814,336.604,310.175,298.629,289.243,292.371,269.443,280.913,299.973,311.904,2.893,3.274,3.016,2.799,2.674,2.347,2.232,2.270,2.016,2.222,2.290,2.282,228.016,230.714,228.379,216.271,257.748,251.745,235.091,239.505,220.656,222.530,225.314,239.290,2.052,2.160,2.262,2.299,2.717,2.457,2.263,2.178,2.357,2.444,2.224,2.516,0.990,0.041,5.622E+05,5.022E+05,0.980,0.000
20805,1273.527,40.808,32.043,39.000,6.245,36.697,6.305,2.303,0.870,0.999,9.355E-05,0.980,5.342E-04,1.004,-NAN,0.900,2.658E-03,2.477E+02,4.956E+01,3.610E+01,9.870E+00,4.045E-02,2.852E-01,2.577E-01,1.944E-01,4.063E-02,12694.000,11430.000,513.0,257.0,65.0,1.0,-0.255,0.398,0.801,0.023,0.871,0.046,1.027,0.056,337.544,341.784,358.421,339.494,308.408,301.504,287.784,294.342,266.484,283.267,294.429,309.295,2.920,2.972,2.956,3.004,2.590,2.534,2.208,2.325,1.945,2.055,2.199,2.283,230.596,234.246,226.840,217.677,261.445,252.129,236.760,233.958,212.974,220.143,225.541,232.600,2.151,2.185,2.233,2.304,2.798,2.532,2.283,2.221,2.168,2.367,2.222,2.392,0.991,0.060,3.014E+05,2.692E+05,0.980,0.001
20806,575.364,19.036,33.085,19.000,4.359,17.684,4.408,1.316,0.658,0.999,1.342E-04,0.980,7.778E-04,1.004,-NAN,0.907,3.837E-03,2.560E+02,5.128E+01,3.734E+01,1.020E+01,4.255E-02,2.957E-01,2.673E-01,2.015E-01,4.273E-02,5735.000,5201.000,513.0,257.0,65.0,1.0,-0.262,0.416,0.801,0.023,0.870,0.047,1.037,0.060,337.768,339.004,360.958,337.412,304.670,297.937,281.136,288.350,270.287,279.010,299.773,306.693,2.929,3.260,2.932,2.926,2.500,2.414,2.102,2.203,2.011,2.129,2.268,2.219,227.645,226.781,224.958,219.346,252.808,253.521,238.854,233.786,216.749,220.287,231.111,235.634,2.246,2.256,2.236,2.344,2.536,2.561,2.264,2.179,2.259,2.343,2.373,2.413,0.991,0.089,1.409E+05,1.260E+05,0.980,0.001
20807,2903.846,94.902,32.681,106.000,10.296,101.724,10.364,4.276,1.186,0.999,5.899E-05,0.979,3.516E-04,1.004,-NAN,0.898,1.779E-03,2.524E+02,5.052E+01,3.680E+01,1.007E+01,4.163E-02,2.912E-01,2.631E-01,1.986E-01,4.181E-02,28941.000,25990.000,513.0,257.0,65.0,1.0,-0.267,0.398,0.801,0.023,0.871,0.046,1.030,0.057,333.116,334.660,357.549,339.152,303.874,295.700,288.778,295.289,270.528,282.637,291.613,301.264,2.867,3.192,2.949,2.801,2.513,2.398,2.231,2.268,2.004,2.250,2.108,2.280,225.277,230.549,226.425,216.324,260.999,253.375,238.149,240.232,214.727,221.640,225.475,232.588,2.170,2.127,2.187,2.225,2.715,2.469,2.228,2.386,2.183,2.428,2.224,2.287,0.991,0.038,7.006E+05,6.260E+05,0.979,0.000
20808,2967.580,99.110,33.398,105.000,10.247,96.776,10.378,8.224,1.645,0.999,5.979E-05,0.980,3.419E-04,1.004,-NAN,0.899,1.754E-03,2.576E+02,5.164E+01,3.761E+01,1.028E+01,4.286E-02,2.979E-01,2.691E-01,2.031E-01,4.305E-02,29575.000,26581.000,513.0,257.0,65.0,1.0,-0.268,0.408,0.801,0.023,0.870,0.047,1.018,0.054,336.135,340.679,355.088,337.780,305.623,302.692,284.652,292.682,269.824,281.980,293.596,306.082,2.952,3.343,2.905,2.702,2.582,2.368,2.166,2.283,2.019,2.232,2.162,2.299,231.307,229.209,225.653,215.236,259.897,253.746,231.800,235.202,217.910,219.727,230.503,228.732,2.130,2.099,2.242,2.234,2.752,2.559,2.196,2.260,2.326,2.359,2.378,2.291,0.990,0.038,7.319E+05,6.536E+05,0.980,0.000
20809,2624.716,87.476,33.328,89.000,9.434,85.382,9.497,3.618,1.091,0.999,6.122E-05,0.980,3.611E-04,1.005,-NAN,0.895,1.898E-03,2.573E+02,5.158E+01,3.755E+01,1.027E+01,4.284E-02,2.976E-01,2.688E-01,2.029E-01,4.305E-02,26159.000,23403.000,513.0,257.0,65.0,1.0,-0.288,0.408,0.801,0.023,0.870,0.047,1.047,0.062,330.813,338.001,357.967,330.591,307.558,297.409,281.956,289.545,268.118,281.433,291.642,305.934,2.812,3.342,2.933,2.827,2.609,2.434,2.164,2.244,2.006,2.206,2.123,2.381,229.428,231.746,224.490,212.597,254.865,254.715,231.413,235.873,216.725,214.945,230.832,236.223,2.333,2.405,2.226,2.139,2.568,2.545,2.149,2.224,2.274,2.244,2.377,2.427,0.991,0.042,6.464E+05,5.772E+05,0.980,0.000
